0,1,2,3,4,5,6,7,8,9,10,TextoStemmed
20.2,abreviação#NOUN,abreviação,NOUN,,,20.0,Type=Derivation,,{},,abrevi
21.0,abrigar#VERB,abrigar,VERB,,,,,,{},,abrig
21.1,abrigo#NOUN,abrigo,NOUN,,,21.0,Type=Derivation,,{},,abrig
22.0,abrir#VERB,abrir,VERB,,,,,,{},,abr
,abrimento#NOUN,abrimento,NOUN,,,,Type=Derivation,,,abr,
22.1,abertura#NOUN,abertura,NOUN,,,22.0,Type=Derivation,,{},,abert
22.2,abridor#NOUN,abridor,NOUN,,,22.0,Type=Derivation,,{},,abri
23.0,absolutizar#VERB,absolutizar,VERB,,,,,,{},,absolu
23.1,absolutização#NOUN,absolutização,NOUN,,,23.0,Type=Derivation,,{},,absolu
24.0,absolver#VERB,absolver,VERB,,,,,,{},,absolv
,absolvente#ADJ,absolvente,ADJ,,,,Type=Derivation,,,absolv,
24.1,absolvedor#NOUN,absolvedor,NOUN,,,24.0,Type=Derivation,,{},,absolv
24.2,absolvição#NOUN,absolvição,NOUN,,,24.0,Type=Derivation,,{},,absolv
25.0,absorver#VERB,absorver,VERB,,,,,,{},,absorv
,absorvível#ADJ,absorvível,ADJ,,,,Type=Derivation,,,absorv,
,absorvimento#NOUN,absorvimento,NOUN,,,,Type=Derivation,,,absorv,
,absorventemente#ADV,absorventemente,ADV,,,,Type=Derivation,,,absorv,
,absorvente#ADJ,absorvente,ADJ,,,,Type=Derivation,,,absorv,
25.1,absorvedor#NOUN,absorvedor,NOUN,,,25.0,Type=Derivation,,{},,absorv
25.2,absorção#NOUN,absorção,NOUN,,,25.0,Type=Derivation,,{},,absorç
26.0,abster#VERB,abster,VERB,,,,,,{},,abst
26.1,abstenção#NOUN,abstenção,NOUN,,,26.0,Type=Derivation,,{},,abstenç
26.2,abstinente#NOUN,abstinente,NOUN,,,26.0,Type=Derivation,,{},,abstin
26.3,abstinência#NOUN,abstinência,NOUN,,,26.0,Type=Derivation,,{},,abstin
27.0,abstrair#VERB,abstrair,VERB,,,,,,{},,abstra
,abstraimento#NOUN,abstraimento,NOUN,,,,Type=Derivation,,,abstra,
,abstracionistamente#ADV,abstracionistamente,ADV,,,,Type=Derivation,,,abstra,
27.1,abstracção#NOUN,abstracção,NOUN,,,27.0,Type=Derivation,,{},,abstracç
27.2,abstração#NOUN,abstração,NOUN,,,27.0,Type=Derivation,,{},,abstr
28.0,abundar#VERB,abundar,VERB,,,,,,{},,abund
,abundantemente#ADV,abundantemente,ADV,,,,Type=Derivation,,,abund,
,abundante#ADJ,abundante,ADJ,,,,Type=Derivation,,,abund,
28.1,abundância#NOUN,abundância,NOUN,,,28.0,Type=Derivation,,{},,abund
29.0,abusar#VERB,abusar,VERB,,,,,,{},,abus
29.1,abusador#NOUN,abusador,NOUN,,,29.0,Type=Derivation,,{},,abus
30.0,acabar#VERB,acabar,VERB,,,,,,{},,acab
,acabador#NOUN,acabador,NOUN,,,,Type=Derivation,,,acab,
30.1,acabamento#NOUN,acabamento,NOUN,,,30.0,Type=Derivation,,{},,acab
31.0,acalentar#VERB,acalentar,VERB,,,,,,{},,acalent
,acalentador#NOUN,acalentador,NOUN,,,,Type=Derivation,,,acalent,
31.1,acalento#NOUN,acalento,NOUN,,,31.0,Type=Derivation,,{},,acalent
32.0,acalmar#VERB,acalmar,VERB,,,,,,{},,acalm
32.1,calma#NOUN,calma,NOUN,,,32.0,Type=Derivation,,{},,calm
32.2,calmante#NOUN,calmante,NOUN,,,32.0,Type=Derivation,,{},,calm
33.0,acampar#VERB,acampar,VERB,,,,,,{},,acamp
33.1,acampamento#NOUN,acampamento,NOUN,,,33.0,Type=Derivation,,{},,acamp
34.0,acarear#VERB,acarear,VERB,,,,,,{},,acar
34.1,acareação#NOUN,acareação,NOUN,,,34.0,Type=Derivation,,{},,acare
35.0,acarretar#VERB,acarretar,VERB,,,,,,{},,acarret
35.1,acarretamento#NOUN,acarretamento,NOUN,,,35.0,Type=Derivation,,{},,acarret
36.0,acasalar#VERB,acasalar,VERB,,,,,,{},,acasal
,acasalação#NOUN,acasalação,NOUN,,,,Type=Derivation,,,acasal,
36.1,acasalamento#NOUN,acasalamento,NOUN,,,36.0,Type=Derivation,,{},,acasal
37.0,acatar#VERB,acatar,VERB,,,,,,{},,acat
,acatável#ADJ,acatável,ADJ,,,,Type=Derivation,,,acat,
37.1,acatamento#NOUN,acatamento,NOUN,,,37.0,Type=Derivation,,{},,acat
37.2,acato#NOUN,acato,NOUN,,,37.0,Type=Derivation,,{},,acat
38.0,aceder#VERB,aceder,VERB,,,,,,{},,aced
,acedente#ADJ,acedente,ADJ,,,,Type=Derivation,,,aced,
38.1,acedência#NOUN,acedência,NOUN,,,38.0,Type=Derivation,,{},,aced
