46.0	agrícola#	agrícola							{}
46.1	agricolamente#	agricolamente				46.0	Type=Derivation		{}

47.0	agulha#	agulha							{}
47.1	agulhas#	agulhas				47.0	Type=Derivation		{}

48.0	ajuda#	ajuda							{}
48.1	ajudas#	ajudas				48.0	Type=Derivation		{}

49.0	ala#	ala							{}
49.1	alas#	alas				49.0	Type=Derivation		{}

50.0	alanina#	alanina							{}
50.1	alaninas#	alaninas				50.0	Type=Derivation		{}

51.0	alavanca#	alavanca							{}
51.1	alavancar#	alavancar				51.0	Type=Derivation		{}

52.0	alaúde#	alaúde							{}
52.1	alaúdes#	alaúdes				52.0	Type=Derivation		{}

53.0	alba#	alba							{}
53.1	albino#	albino				53.0	Type=Derivation		{}

54.0	albergue#	albergue							{}
54.1	alberguezinho#	alberguezinho				54.0	Type=Derivation		{}
54.2	alberguinho#	alberguinho				54.0	Type=Derivation		{}

55.0	alcateia#	alcateia							{}
55.1	alcatear#	alcatear				55.0	Type=Derivation		{}
55.2	alcateias#	alcateias				55.0	Type=Derivation		{}

56.0	alfabetização#	alfabetização							{}
56.1	alfabetizações#	alfabetizações				56.0	Type=Derivation		{}

57.0	alfarrábio#	alfarrábio							{}
57.1	alfarrábios#	alfarrábios				57.0	Type=Derivation		{}

58.0	alfinete#	alfinete							{}
58.1	alfinetada#	alfinetada				58.0	Type=Derivation		{}
58.2	alfinetado#	alfinetado				58.0	Type=Derivation		{}
58.3	alfinetar#	alfinetar				58.0	Type=Derivation		{}
58.4	alfineteira#	alfineteira				58.0	Type=Derivation		{}

59.0	alga#	alga							{}
59.1	algáceo#	algáceo				59.0	Type=Derivation		{}

60.0	algodão#	algodão							{}
60.1	algodões#	algodões				60.0	Type=Derivation		{}

61.0	algoritmo#	algoritmo							{}
61.1	algoritmos#	algoritmos				61.0	Type=Derivation		{}

62.0	algum#	algum							{}
62.1	alguma#	alguma				62.0	Type=Derivation		{}
62.2	algumas#	algumas				62.0	Type=Derivation		{}
62.3	alguns#	alguns				62.0	Type=Derivation		{}

63.0	aliança#	aliança							{}
63.1	alianças#	alianças				63.0	Type=Derivation		{}

64.0	alienação#	alienação							{}
64.1	alienações#	alienações				64.0	Type=Derivation		{}

65.0	aliteração#	aliteração							{}
65.1	aliterações#	aliterações				65.0	Type=Derivation		{}

66.0	alucinação#	alucinação							{}
66.1	alucinações#	alucinações				66.0	Type=Derivation		{}

67.0	aluno#	aluno							{}
67.1	alunos#	alunos				67.0	Type=Derivation		{}

68.0	alusão#	alusão							{}
68.1	alusões#	alusões				68.0	Type=Derivation		{}

69.0	alvacento#	alvacento							{}
69.1	alvacenta#	alvacenta				69.0	Type=Derivation		{}

70.0	alvo#	alvo							{}
70.1	alva#	alva				70.0	Type=Derivation		{}

71.0	alvor#	alvor							{}
71.1	alvores#	alvores				71.0	Type=Derivation		{}

72.0	alça#	alça							{}
